Batch Size,Optimizer,Learning Rate,Epochs,Pin Memory,ResNet-18 (%),ResNet-50 (%)
16,SGD,0.001,2,True,98.69,97.98
16,SGD,0.0001,2,True,98.03,95.77
16,Adam,0.001,2,True,98.2,96.13
16,Adam,0.0001,2,True,98.61,96.72
32,SGD,0.001,2,True,98.86,97.54
32,SGD,0.0001,2,True,97.69,94.0
32,Adam,0.001,2,True,97.37,97.32
32,Adam,0.0001,2,True,98.5,95.32
16,SGD,0.001,3,True,98.57,98.24
16,SGD,0.0001,3,True,98.58,96.78
16,Adam,0.001,3,True,97.86,95.92
16,Adam,0.0001,3,True,98.45,97.87
32,SGD,0.001,3,True,98.74,98.23
32,SGD,0.0001,3,True,97.95,95.31
32,Adam,0.001,3,True,98.26,95.64
32,Adam,0.0001,3,True,98.94,95.78
16,SGD,0.001,2,False,99.1,97.49
16,SGD,0.0001,2,False,98.07,96.39
16,Adam,0.001,2,False,98.33,93.56
16,Adam,0.0001,2,False,98.62,96.62
32,SGD,0.001,2,False,98.78,97.75
32,SGD,0.0001,2,False,97.6,93.87
32,Adam,0.001,2,False,98.08,96.49
32,Adam,0.0001,2,False,98.32,95.79
16,SGD,0.001,3,False,98.94,98.33
16,SGD,0.0001,3,False,98.48,96.86
16,Adam,0.001,3,False,98.81,97.08
16,Adam,0.0001,3,False,98.71,97.11
32,SGD,0.001,3,False,98.87,98.14
32,SGD,0.0001,3,False,97.9,95.33
32,Adam,0.001,3,False,98.28,98.13
32,Adam,0.0001,3,False,98.63,96.87
