Dataset,Batch Size,Optimizer,Learning Rate,ResNet-18 Acc (%),ResNet-50 Acc (%),Epochs,Pin Memory
MNIST,16,SGD,0.001,98.74,97.73,2,False
MNIST,16,SGD,0.0001,98.09,95.59,2,False
MNIST,16,Adam,0.001,98.57,97.44,2,False
MNIST,16,Adam,0.0001,98.51,95.93,2,False
MNIST,32,SGD,0.001,98.69,97.6,2,False
MNIST,32,SGD,0.0001,97.57,93.2,2,False
MNIST,32,Adam,0.001,98.51,97.76,2,False
MNIST,32,Adam,0.0001,98.26,95.26,2,False
MNIST,16,SGD,0.001,98.74,97.59,2,True
MNIST,16,SGD,0.0001,98.2,95.34,2,True
MNIST,16,Adam,0.001,97.81,98.02,2,True
MNIST,16,Adam,0.0001,97.94,95.51,2,True
MNIST,32,SGD,0.001,98.57,97.78,2,True
MNIST,32,SGD,0.0001,97.62,93.95,2,True
MNIST,32,Adam,0.001,98.31,96.67,2,True
MNIST,32,Adam,0.0001,98.32,95.69,2,True
MNIST,16,SGD,0.001,98.98,98.36,4,False
MNIST,16,SGD,0.0001,98.73,97.31,4,False
MNIST,16,Adam,0.001,98.46,98.05,4,False
MNIST,16,Adam,0.0001,98.96,97.98,4,False
MNIST,32,SGD,0.001,99.12,98.42,4,False
MNIST,32,SGD,0.0001,98.44,96.08,4,False
MNIST,32,Adam,0.001,98.67,96.69,4,False
MNIST,32,Adam,0.0001,98.43,96.91,4,False
MNIST,16,SGD,0.001,98.9,98.17,4,True
MNIST,16,SGD,0.0001,98.43,97.47,4,True
MNIST,16,Adam,0.001,99.09,97.44,4,True
MNIST,16,Adam,0.0001,98.23,98.27,4,True
MNIST,32,SGD,0.001,98.98,98.42,4,True
MNIST,32,SGD,0.0001,98.01,96.4,4,True
MNIST,32,Adam,0.001,98.92,98.48,4,True
MNIST,32,Adam,0.0001,98.66,96.71,4,True
