Configuration,Train Acc (%),Test Acc (%),Training Time (sec)
"RBF, C=1.0, γ=scale",98.55,96.28,142.19
"RBF, C=10.0, γ=scale",99.94,96.88,136.82
"RBF, C=1.0, γ=0.001",97.96,96.03,131.85
"RBF, C=10.0, γ=0.001",99.84,96.9,112.1
"RBF, C=100.0, γ=scale",100.0,96.85,136.51
"RBF, C=0.1, γ=scale",93.55,92.71,263.35
"POLY, C=1.0, γ=scale, deg=2",98.47,96.78,167.84
"POLY, C=1.0, γ=scale, deg=3",97.47,95.35,301.95
"POLY, C=10.0, γ=scale, deg=2",99.85,97.38,111.4
"POLY, C=10.0, γ=scale, deg=3",99.71,97.32,180.63
"POLY, C=1.0, γ=0.01, deg=3",100.0,97.39,171.43
"POLY, C=0.1, γ=scale, deg=2",94.17,93.3,435.06
